sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season,origin_clean
D051,Corgi,Animal breeder,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown,Animal breeder
D032,Mixed breed,Rescued animal / Animal shelter,Shangai,Qingpu District,companion,unknown,unknown,unknown,unknown,Shelter
D033,Bernese Mountain Dog,Pet store,Shangai,Qingpu District,companion,unknown,unknown,unknown,unknown,Store
D025,Mixed breed,Stray animals on the roadside,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown,Street
D035,French Bulldog,Pet store,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown,Store
D036,Golden retriever,Pet store,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown,Store
D030,Cairn terrier,Animal breeder,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown,Animal breeder
D034,Yorkshire terrier,Rescued animal / Animal shelter,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown,Shelter
D037,Poodle or Toy poodle,Pet store,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown,Store
D046,Chihuahua,Rescued animal / Animal shelter,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown,Shelter
D014,Labrador retriever,From a friend / relative / particular,Shangai,Yangpu District,companion,unknown,unknown,unknown,unknown,House
EHI01322,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01288,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01301,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01310,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01329,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01295,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01307,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01286,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01326,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01327,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01298,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01313,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01297,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01318,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01321,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01302,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01294,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01312,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01282,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01324,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01323,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01332,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01283,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01299,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01331,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01316,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01328,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01296,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
EHI01309,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,unknown,summer,Military
GL_01_02,Sled dog,House,Greenland,Disko,sled_dog,1,Lead,unknown,summer,House_sled
GL_01_04,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,unknown,summer,House_sled
GL_01_05,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,unknown,summer,House_sled
GL_01_06,Sled dog,House,Greenland,Disko,sled_dog,1,Too_young,unknown,summer,House_sled
GL_01_07,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,unknown,summer,House_sled
GL_02_01,Sled dog,House,Greenland,Disko,sled_dog,2,Lead,unknown,summer,House_sled
GL_02_02,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,unknown,summer,House_sled
GL_02_03,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,unknown,summer,House_sled
GL_02_04,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,unknown,summer,House_sled
GL_02_05,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,unknown,summer,House_sled
GL_02_06,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,unknown,summer,House_sled
GL_03_01,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_02,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_03,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_04,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_05,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_06,Sled dog,House,Greenland,Disko,sled_dog,3,Lead,unknown,summer,House_sled
GL_03_07,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_09,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_10,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_11,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_12,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_13,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_03_14,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,unknown,summer,House_sled
GL_04_01,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_02,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_03,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_04,Sled dog,House,Greenland,Disko,sled_dog,4,Lead,unknown,summer,House_sled
GL_04_05,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_06,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_07,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_08,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_09,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_04_10,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,unknown,summer,House_sled
GL_05_01,Sled dog,House,Greenland,Disko,sled_dog,5,Too_young,unknown,summer,House_sled
GL_05_03,Sled dog,House,Greenland,Disko,sled_dog,5,Too_young,unknown,summer,House_sled
GL_05_04,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_06,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_07,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_09,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_10,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_11,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,unknown,summer,House_sled
GL_05_12,Sled dog,House,Greenland,Disko,sled_dog,5,Lead,unknown,summer,House_sled
GL_06_01,Sled dog,House,Greenland,Disko,sled_dog,6,Lead,unknown,summer,House_sled
GL_06_02,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,unknown,summer,House_sled
GL_06_03,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,unknown,summer,House_sled
GL_06_04,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,unknown,summer,House_sled
GL_06_05,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,unknown,summer,House_sled
GL_06_06,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,unknown,summer,House_sled
GL_07_01,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_02,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_03,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_04,Sled dog,House,Greenland,Illulissat,sled_dog,7,Lead,unknown,summer,House_sled
GL_07_05,Sled dog,House,Greenland,Illulissat,sled_dog,7,Too_young,unknown,summer,House_sled
GL_07_06,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_07,Sled dog,House,Greenland,Illulissat,sled_dog,7,Too_young,unknown,summer,House_sled
GL_07_08,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_09,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_10,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_11,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,unknown,summer,House_sled
GL_07_12,Sled dog,House,Greenland,Illulissat,sled_dog,7,Next_in_line,unknown,summer,House_sled
GL_08_01,Sled dog,House,Greenland,Illulissat,sled_dog,8,Next_in_line,unknown,summer,House_sled
GL_08_02,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_03,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_04,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_05,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_06,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_07,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_08,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_10,Sled dog,House,Greenland,Illulissat,sled_dog,8,Next_in_line,unknown,summer,House_sled
GL_08_11,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,unknown,summer,House_sled
GL_08_12,Sled dog,House,Greenland,Illulissat,sled_dog,8,Lead,unknown,summer,House_sled
SRR14842364,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842404,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842381,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842369,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842365,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842362,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842360,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842401,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842399,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842398,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842397,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842395,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842384,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842393,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842383,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842333,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842375,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842392,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842376,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842388,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842372,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842366,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842377,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842390,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842387,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842386,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842373,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842380,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842394,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842391,unknown,Street,India,India,companion,unknown,unknown,unknown,unknown,Street
SRR14842378,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842368,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842371,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
SRR14842402,unknown,Shelter,India,India,companion,unknown,unknown,unknown,unknown,Shelter
EHI01305,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01281,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01320,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01311,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01306,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01280,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01385,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01289,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01325,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01304,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01381,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01330,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01383,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01285,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01291,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01293,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01303,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01292,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01308,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01284,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01300,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01384,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01287,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01382,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01314,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01317,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01315,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01319,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI01290,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,unknown,summer,House
EHI03368,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03344,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03355,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03357,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03387,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03376,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03363,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03386,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03391,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03390,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03345,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03356,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03364,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03385,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03366,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03389,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03382,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03372,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03377,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03335,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03341,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_6,winter,House
EHI03378,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_7,winter,House
EHI03395,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03354,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03338,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03365,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03392,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03342,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03360,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03388,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03351,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03370,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03379,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03346,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03343,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03380,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03358,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03359,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03367,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03362,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03340,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter,House
EHI03371,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03375,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03336,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03396,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03350,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03353,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03349,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03383,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03347,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03373,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03352,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03397,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
EHI03361,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03374,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03337,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03339,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter,House
