sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season
D005,Mixed breed,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D006,Schnauzer,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D007,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D008,Shiba Inu,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D010,Shih Tzu,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D011,Labrador retriever,Animal breeder,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D012,Mixed breed,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D015,Border Collie,Rescued animal / Animal shelter,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D018,I don't know,Stray animals on the roadside,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D023,Mixed breed,From a friend / relative / particular,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D050,Poodle or Toy poodle,From a friend / relative / particular,Shangai,Pudong New Area District,companion,unknown,unknown,unknown,unknown
D019,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D020,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D021,Shiba Inu,Pet store,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D022,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D024,Poodle or Toy poodle,Rescued animal / Animal shelter,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D051,Corgi,Animal breeder,Shangai,Putuo District,companion,unknown,unknown,unknown,unknown
D032,Mixed breed,Rescued animal / Animal shelter,Shangai,Qingpu District,companion,unknown,unknown,unknown,unknown
D033,Bernese Mountain Dog,Pet store,Shangai,Qingpu District,companion,unknown,unknown,unknown,unknown
D025,Mixed breed,Stray animals on the roadside,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown
D035,French Bulldog,Pet store,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown
D036,Golden retriever,Pet store,Shangai,Songjiang District,companion,unknown,unknown,unknown,unknown
D030,Cairn terrier,Animal breeder,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown
D034,Yorkshire terrier,Rescued animal / Animal shelter,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown
D037,Poodle or Toy poodle,Pet store,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown
D046,Chihuahua,Rescued animal / Animal shelter,Shangai,Xuhui District,companion,unknown,unknown,unknown,unknown
D014,Labrador retriever,From a friend / relative / particular,Shangai,Yangpu District,companion,unknown,unknown,unknown,unknown
EHI01322,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01288,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01301,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01310,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01329,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01295,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01307,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01286,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01326,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01327,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01298,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01313,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01297,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01318,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01321,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01302,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01294,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01312,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01282,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01324,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01323,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01332,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01283,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01299,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01331,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01316,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01328,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01296,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
EHI01309,Sled dog,Military,Greenland,Daneborg,sled_dog,unknown,unknown,Unknown,summer
GL_01_02,Sled dog,House,Greenland,Disko,sled_dog,1,Lead,Unknown,summer
GL_01_04,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,Unknown,summer
GL_01_05,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,Unknown,summer
GL_01_06,Sled dog,House,Greenland,Disko,sled_dog,1,Too_young,Unknown,summer
GL_01_07,Sled dog,House,Greenland,Disko,sled_dog,1,Follower,Unknown,summer
GL_02_01,Sled dog,House,Greenland,Disko,sled_dog,2,Lead,Unknown,summer
GL_02_02,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,Unknown,summer
GL_02_03,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,Unknown,summer
GL_02_04,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,Unknown,summer
GL_02_05,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,Unknown,summer
GL_02_06,Sled dog,House,Greenland,Disko,sled_dog,2,Follower,Unknown,summer
GL_03_01,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_02,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_03,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_04,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_05,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_06,Sled dog,House,Greenland,Disko,sled_dog,3,Lead,Unknown,summer
GL_03_07,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_09,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_10,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_11,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_12,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_13,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_03_14,Sled dog,House,Greenland,Disko,sled_dog,3,Follower,Unknown,summer
GL_04_01,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_02,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_03,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_04,Sled dog,House,Greenland,Disko,sled_dog,4,Lead,Unknown,summer
GL_04_05,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_06,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_07,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_08,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_09,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_04_10,Sled dog,House,Greenland,Disko,sled_dog,4,Follower,Unknown,summer
GL_05_01,Sled dog,House,Greenland,Disko,sled_dog,5,Too_young,Unknown,summer
GL_05_03,Sled dog,House,Greenland,Disko,sled_dog,5,Too_young,Unknown,summer
GL_05_04,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_06,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_07,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_09,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_10,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_11,Sled dog,House,Greenland,Disko,sled_dog,5,Follower,Unknown,summer
GL_05_12,Sled dog,House,Greenland,Disko,sled_dog,5,Lead,Unknown,summer
GL_06_01,Sled dog,House,Greenland,Disko,sled_dog,6,Lead,Unknown,summer
GL_06_02,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,Unknown,summer
GL_06_03,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,Unknown,summer
GL_06_04,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,Unknown,summer
GL_06_05,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,Unknown,summer
GL_06_06,Sled dog,House,Greenland,Disko,sled_dog,6,Follower,Unknown,summer
GL_07_01,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_02,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_03,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_04,Sled dog,House,Greenland,Illulissat,sled_dog,7,Lead,Unknown,summer
GL_07_05,Sled dog,House,Greenland,Illulissat,sled_dog,7,Too_young,Unknown,summer
GL_07_06,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_07,Sled dog,House,Greenland,Illulissat,sled_dog,7,Too_young,Unknown,summer
GL_07_08,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_09,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_10,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_11,Sled dog,House,Greenland,Illulissat,sled_dog,7,Follower,Unknown,summer
GL_07_12,Sled dog,House,Greenland,Illulissat,sled_dog,7,Next_in_line,Unknown,summer
GL_08_01,Sled dog,House,Greenland,Illulissat,sled_dog,8,Next_in_line,Unknown,summer
GL_08_02,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_03,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_04,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_05,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_06,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_07,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_08,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_10,Sled dog,House,Greenland,Illulissat,sled_dog,8,Next_in_line,Unknown,summer
GL_08_11,Sled dog,House,Greenland,Illulissat,sled_dog,8,Follower,Unknown,summer
GL_08_12,Sled dog,House,Greenland,Illulissat,sled_dog,8,Lead,Unknown,summer
SRR14842364,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842404,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842381,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842369,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842365,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842362,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842360,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842401,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842399,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842398,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842397,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842395,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842384,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842393,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842383,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842333,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842375,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842392,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842376,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842388,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842372,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842366,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842377,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842390,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842387,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842386,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842373,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842380,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842394,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842391,unknown,Street,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842378,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842368,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842371,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
SRR14842402,unknown,Shelter,India,India,companion,unknown,unknown,Unknown,Unknown
EHI01305,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01281,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01320,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01311,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01306,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01280,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01385,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01289,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01325,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01304,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01381,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01330,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01383,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01285,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01291,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01293,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01303,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01292,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01308,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01284,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01300,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01384,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01287,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01382,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01314,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01317,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01315,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01319,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI01290,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,Unknown,summer
EHI03368,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03344,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03355,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03357,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03387,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03376,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03363,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03386,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03391,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03390,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03345,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03356,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03364,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03385,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03366,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03389,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03382,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03372,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03377,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03335,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03341,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_6,winter
EHI03378,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_7,winter
EHI03395,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03354,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03338,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03365,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03392,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03342,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03360,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03388,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03351,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03370,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03379,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03346,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03343,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03380,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03358,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03359,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03367,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03362,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03340,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_5,winter
EHI03371,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03375,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03336,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03396,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03350,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03353,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03349,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03383,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03347,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03373,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03352,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03397,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03361,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03374,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03337,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03339,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_4,winter
EHI03369,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03394,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03393,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
EHI03348,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter
EHI03384,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter
EHI03381,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter
SRR14842335,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842325,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842324,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842340,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842352,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842424,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842341,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842415,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842346,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842344,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842426,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
